f1,p,r
0.9626200795,0.9645910859,0.9607210159
0.9118928313,0.9156799912,0.9083144665
0.926835537,0.9278771281,0.9260149598
0.8433002234,0.8550471663,0.8323911428
0.8159067035,0.8285281658,0.8043163419
0.9261355996,0.9381693602,0.9161137938
0.9286037683,0.940746069,0.9183061123
0.8498452902,0.856374681,0.8436203003
0.8822223544,0.8917919397,0.8736237884
0.9384353757,0.9460753798,0.9314990044
0.8896540999,0.9007224441,0.8796083331
0.8374217749,0.8544830084,0.8222671151
0.9226779938,0.9269523621,0.9188222885
0.8681978583,0.8777627945,0.8594623804
0.8952165842,0.9081297517,0.8839380145
0.9102624059,0.9140889049,0.9066548347
0.9129868746,0.9220267534,0.9049511552
0.8863681555,0.8972347975,0.8769717216
0.9267441034,0.9328127503,0.921241641
0.9162054062,0.9202849269,0.9124763608
0.9130673409,0.9220829606,0.9050760865
0.8807454109,0.8887303472,0.8736140132
0.8851084709,0.894967258,0.8762763739
0.756924808,0.7675380111,0.7484745979
0.9178889394,0.9242181778,0.9121690989
0.9117357731,0.9165980816,0.9072510004
0.8062231541,0.8254039288,0.7891873717
0.9271333218,0.9328225851,0.9220333695
0.8642686009,0.8739615083,0.8554084897
0.9378232956,0.9452070594,0.9315232038
0.8628123403,0.8756802082,0.8513860703
0.8808893561,0.8898366094,0.8726053238
0.908516109,0.9183564186,0.8998808861
0.6572075486,0.6638595462,0.6522544622
0.849598527,0.8662722111,0.8349989653
0.8353613615,0.8429344893,0.830070436
0.8171989322,0.8360897303,0.8002913594
0.9170398116,0.9186048508,0.9159305692
0.9226147532,0.9307461977,0.9154590964
0.9317989349,0.931345582,0.9322554469
0.8658068776,0.8750357628,0.8573775291
0.8833865523,0.8911131024,0.8763023019
0.8690271378,0.8839176893,0.8564241529
0.7995305061,0.8178129196,0.7841697335
0.9387723207,0.9433091283,0.9346593618
0.9314236641,0.9331880808,0.929729104
0.919659555,0.9277356863,0.912650764
0.8664762378,0.8762830496,0.8577111959
0.894323647,0.9053715467,0.8848357201
0.8797316551,0.8899965286,0.8704125881
0.9416595697,0.9466435313,0.9371319413
0.9002652764,0.904879272,0.8960363865
0.9095054865,0.9187935591,0.9013681412
0.896753788,0.9052269459,0.8899618983
0.8893306255,0.892801702,0.8860626817
0.896799624,0.9066014886,0.8878760934
0.902929306,0.9124868512,0.8945574164
0.9890027642,0.9890027642,0.9890027642
0.918882966,0.9231513739,0.9148727655
0.8879033923,0.8980077505,0.8788006902
0.8497447371,0.8642712235,0.836991787
0.7504924536,0.7577258945,0.7450715303
0.9168170691,0.9250235558,0.9093496203
0.7782530785,0.7837451696,0.7732183337
0.8813520074,0.8843640089,0.8784279227
0.6928180456,0.6984741092,0.6883686781
0.8944327235,0.9140354991,0.8781434298
0.7616551518,0.7915035486,0.7352984548
0.9181551933,0.9236345291,0.9131851792
0.9366622567,0.944991827,0.9291813374
0.7866573334,0.7956699729,0.7795242071
0.8718070984,0.8818163276,0.8626177907
0.8456615806,0.8560981154,0.8360706568
0.9525662661,0.9564729929,0.9492807388
0.8530496955,0.8627131581,0.8444170356
0.8537661433,0.8580562472,0.8497570753
0.8739171028,0.8792001605,0.8689880371
0.9208676815,0.9241182804,0.9179379344
0.8461351991,0.858504355,0.8350693583
0.9414234757,0.9474281073,0.9358602762
0.9249837995,0.9302886128,0.9200633764
0.9030929208,0.9095521569,0.897148788
0.9297375083,0.9374386072,0.9231219888
0.8616495728,0.8724266291,0.8518694639
0.887785852,0.8942628503,0.8817334771
0.8219515681,0.8343868852,0.8105770946
0.8959546685,0.9062504768,0.8867877126
0.8891820312,0.8996231556,0.8801489472
0.9073400497,0.9146298766,0.9009177089
0.8683564663,0.8779731989,0.8598559499
0.8550548553,0.8679067492,0.8435084224
0.9085136056,0.9156925082,0.9021267891
0.7827249765,0.7997392416,0.7674860358
0.8751810193,0.8828322291,0.8682206869
0.9083690047,0.9176719189,0.9008785486
0.8420869708,0.844506681,0.8401222229
0.9118834138,0.9163782597,0.9077656269
0.9541602731,0.9547627568,0.953573525
0.8437740207,0.8555000424,0.8328634501
0.7795176506,0.7962503433,0.7642188668
0.9261971712,0.9339922667,0.9192306399
0.8286008239,0.8432401419,0.8155156374
0.8915215731,0.901478231,0.8825139999
0.7307313085,0.7357766032,0.7272365093
0.9279295206,0.9325298071,0.9236853719
0.9124797583,0.9170885086,0.9085012078
0.8449312449,0.8582056165,0.8327781558
0.8978721499,0.9023339748,0.893817842
0.7935109138,0.8067398071,0.7825369239
0.8895632029,0.8974278569,0.8822849989
0.8914530277,0.9015619755,0.8825824261
0.842056632,0.8589554429,0.8271289468
0.8569633961,0.8721526861,0.8440154791
0.7519028187,0.7784130573,0.7288742065
0.8982785344,0.9057626128,0.8915280104
0.7437295318,0.767665267,0.7224140763
0.7669699192,0.7701724768,0.76498276
0.8883147836,0.8962477446,0.8810040355
0.8900327682,0.8966471553,0.8839924335
0.9297069311,0.938047111,0.9222995043
0.8679617047,0.8760113716,0.8608304858
0.8816800714,0.8921495676,0.8720794916
0.8688200116,0.8748304248,0.8631847501
0.9063003659,0.9144195318,0.8988388181
0.8982231617,0.9074189663,0.8899853826
0.678611815,0.6852683425,0.6731320024
0.9441957474,0.9474640489,0.9413387775
0.8150373697,0.8271116614,0.8051230907
0.6894158125,0.6970124841,0.6838172078
0.8677699566,0.8820763826,0.8553531766
0.8342311978,0.8472875953,0.8229175806
0.8036572337,0.823818624,0.7856346965
0.9001501799,0.9078973532,0.8930271268
0.8482012153,0.8598772287,0.8375889659
0.8539013863,0.8709763885,0.8390116692
0.8933537006,0.9031412601,0.8846737742
0.9283571243,0.9322446585,0.924724102
0.9015462399,0.9179410338,0.887804687
0.8825230002,0.8788411617,0.8867817521
0.9094724059,0.9190436602,0.9009064436
0.8185099959,0.8297930956,0.8081220984
0.72051543,0.7285234928,0.7145643234
0.9179105163,0.9246532321,0.911934495
0.8366354704,0.8511238098,0.8235645294
0.8072269559,0.8229086399,0.7932866216
0.7866804004,0.7972211242,0.7776489854
0.843614161,0.8548092246,0.8334580064
0.9044685364,0.908937335,0.9002944231
0.9226264358,0.926422298,0.9191483855
0.8096434474,0.8282996416,0.7929432392
0.7559869885,0.7732416391,0.7400701046
0.9569990039,0.9607349038,0.9535034299
0.9155260324,0.922036171,0.9096567631
0.7471327186,0.7685511112,0.7282972336
0.8063576818,0.8205340505,0.7941969037
0.8068985939,0.8228988647,0.7924909592
0.8821688294,0.8938886523,0.8717510104
0.8782992363,0.8909842968,0.8671020865
0.7821906209,0.8107498288,0.7575223446
0.7617703676,0.7711135149,0.7539126873
0.838370204,0.8566643,0.8224501014
0.9061477184,0.9132992029,0.8995983005
0.8851128221,0.8957238793,0.8754919171
0.7527503967,0.7785662413,0.7299963832
0.9156060219,0.9216643572,0.9102358818
0.8789826035,0.8850997686,0.8734099865
0.8639113903,0.874807775,0.8541682363
0.9308924079,0.9351955056,0.9268375039
0.8809940815,0.8913643956,0.8720185757
0.8860474229,0.8928409219,0.8796992898
0.7763888836,0.7965813279,0.75879246
0.8163429499,0.8361110687,0.7991588116
0.98387146,0.9833625555,0.984392643
0.8042138815,0.8208117485,0.7897564769
0.9057084918,0.9221598506,0.8919249177
0.8109228015,0.8273851275,0.7957830429
0.9024653435,0.9204463959,0.8873952627
0.8790174723,0.8885688186,0.8703047037
0.9525926113,0.9577229619,0.9479324818
0.7196426988,0.7248836756,0.7165554762
0.8967692852,0.9043712616,0.8898855448
0.935713172,0.9412684441,0.9305669069
0.9136449695,0.9245046377,0.9042260051
0.8811170459,0.891254127,0.8719346523
0.8310765624,0.8517417312,0.8133485913
0.9302549362,0.9348471761,0.9259331226
0.9737621546,0.9789679646,0.9694433808
0.8782758117,0.8867319822,0.8704192638
0.8317474127,0.8479604125,0.8175828457
0.9005158544,0.9120240211,0.8905451298
0.9227472544,0.9318318963,0.9147358537
0.8824039102,0.8912785053,0.8742780685
0.8978266716,0.9056112766,0.8907618523
0.8689000607,0.8830180764,0.8561867476
0.8991423845,0.9085235596,0.89084512
0.6782755256,0.6904757619,0.6685794592
0.8621704578,0.8773510456,0.8487995863
0.8394448757,0.8608624339,0.8209577799
0.9523891211,0.9556491375,0.9494457245
0.8961522579,0.9066780806,0.8869704604
0.6690549254,0.6744488478,0.6655355096
0.8507612944,0.8677766919,0.8369043469
0.9620752931,0.963424623,0.9609271288
0.8763996959,0.8818725944,0.8713791966
0.8448261619,0.8568499684,0.8337227702
0.9246705174,0.9307360053,0.9192469716
0.8532460332,0.8643571138,0.8434880376
0.9322183728,0.9357065558,0.9290063977
0.8558594584,0.8641309142,0.8485047221
0.8427291512,0.8527688384,0.8335338831
0.9050978422,0.9127389193,0.8982557654
0.7955277562,0.8132213354,0.7803127766
0.8766355515,0.8853324056,0.8687298894
0.7932007909,0.8079342246,0.7797410488
0.8034553528,0.8216845989,0.7870280743
0.8120118976,0.8208675385,0.8036167026
0.8587604761,0.870102942,0.8482698202
0.8224738836,0.8362737894,0.8102089167
0.8689873219,0.8829210997,0.8566552401
0.8656532168,0.8805679083,0.8528863788
0.9229055643,0.9319607019,0.9147415757
0.8822340965,0.8941971064,0.8718258739
0.8690761924,0.8768267035,0.8617597222
0.8379155993,0.8508484364,0.8261190057
0.8262753487,0.8485583067,0.8074440956
0.893060863,0.8989297748,0.8878534436
0.8671144843,0.8795045614,0.8558929563
0.8761976361,0.8855245709,0.867911756
0.9151723981,0.9235911369,0.9075690508
0.9008433223,0.9082480669,0.8943231106
0.906832099,0.9126346707,0.9013573527
0.8023005724,0.8200983405,0.7863435745
0.9139988422,0.9231425524,0.9058721662
0.8037837148,0.8276489377,0.7828041315
0.913654983,0.9211515188,0.9070518017
0.8716750741,0.886951983,0.8585808277
0.9751086831,0.9757695794,0.9744576216
0.9103032947,0.9151847959,0.9059612751
0.8326205611,0.8407068253,0.8252677917
0.935464263,0.9402712584,0.9311059713
0.8248167634,0.8421677351,0.8097397089
0.8723512292,0.8809630275,0.8643790483
0.9451771975,0.9490497708,0.9415478706
0.8406621814,0.8567567468,0.8264653683
0.881162703,0.8907409906,0.8722801208
0.8429912329,0.8520976305,0.8351401091
0.9213490486,0.9239838719,0.9189360738
0.9192578793,0.926158905,0.9130859971
0.9438591003,0.9500620961,0.9382820725
0.7855116725,0.7818765044,0.7902339101
0.867159307,0.8796644807,0.8560234308
0.8985304832,0.9122991562,0.8865009546
0.6864991188,0.6958379149,0.6798434258
0.8106566072,0.8219550252,0.8004856706
0.891463995,0.900927484,0.883005321
0.8597551584,0.8682925701,0.851939261
0.7583037615,0.7667204738,0.7510127425
0.8284236789,0.8488189578,0.8104230762
0.9143728018,0.9251923561,0.9052971601
0.8516280055,0.8649837971,0.8397238255
0.8938456178,0.9074088931,0.881857276
0.9547924995,0.9595233202,0.9504825473
0.8022083044,0.8137480021,0.7924156785
0.9102398753,0.9188274741,0.9026272297
0.8974326253,0.9063704014,0.8892805576
0.8765502572,0.8872261643,0.8669567704
0.9033599496,0.909319818,0.8980029821
0.9021071792,0.9112765789,0.8938689232
0.9081578851,0.9134506583,0.9033356905
0.8968801498,0.9092822671,0.8860491514
0.890966773,0.8933977485,0.8886477947
0.8995563984,0.9070529342,0.8927724361
0.8996812701,0.9081665874,0.8919875622
0.9342086315,0.9412727952,0.9279758334
0.7053939104,0.7165434361,0.6961545348
0.9583794475,0.9594514966,0.9573760033
0.7197602987,0.7278311253,0.7138877511
0.8750934005,0.8941207528,0.8589711189
0.7073175311,0.7177358866,0.6993700862
0.8388599753,0.8466822505,0.8320744038
0.8934277296,0.9022728801,0.8858051896
0.8752595186,0.8873435855,0.8642930388
0.7207977176,0.734998703,0.7076681852
0.8970884681,0.9074604511,0.8875874281
0.8867890239,0.900388062,0.8747048974
0.8858986497,0.8890424371,0.8828902841
0.7914190292,0.8160506487,0.7694066167
0.8819541931,0.8943479657,0.8710644245
0.8767263293,0.8894789815,0.8655571938
0.861597836,0.8719474077,0.8524981141
0.914393425,0.9207476377,0.9086360335
0.948587656,0.9515817165,0.945867002
0.8720552325,0.8827159405,0.8625903726
0.8741222024,0.8865890503,0.8631255031
0.8521122932,0.8717976809,0.8350922465
0.9108657241,0.9176264405,0.9048123956
0.9090408087,0.9146783948,0.9039154053
0.8764513731,0.8848640919,0.8690425754
0.9164758325,0.9205286503,0.9128386378
0.6717705131,0.6802533865,0.6647561193
0.8933982849,0.9035358429,0.8849384189
0.7945498824,0.8112841845,0.7797592282
0.8923768401,0.907071352,0.8798167706
0.8781631589,0.8958120942,0.8633176088
0.8578113317,0.8605890274,0.8552142978
0.8483623266,0.8552606702,0.8418697119
0.909027338,0.9170305729,0.9018378258
0.8559490442,0.8636271358,0.8486231565
0.8570821881,0.8678153157,0.8473553658
0.8834208846,0.8969357014,0.8722347021
0.8815770745,0.8866094947,0.8768820763
0.8354557157,0.8562448621,0.816911757
0.8396741152,0.8500931859,0.8299264908
0.8774455786,0.8877347708,0.8685364127
0.9155513048,0.9234645963,0.9085501432
0.827282548,0.8428994417,0.8131172061
0.9054639935,0.9120813608,0.8994617462
0.8767251968,0.8860860467,0.8681901097
0.7969998121,0.7988931537,0.7968910933
0.7427824736,0.7720553279,0.7170466185
0.7729215622,0.7820780873,0.7646271586
0.9238174558,0.9307134748,0.9177901149
0.7496964335,0.7592281103,0.7410228252
0.8010462523,0.8104720712,0.7924624681
0.8485147357,0.8623918295,0.836081028
0.8948478699,0.900370717,0.8901332021
0.7598763704,0.778793633,0.7427042723
0.932482481,0.9349143505,0.9303561449
0.8365115523,0.8464863896,0.8273770809
0.8369939923,0.8571766615,0.8190799952
0.820934236,0.8286123276,0.8143578768
0.9327875972,0.9367587566,0.9290924072
0.801435411,0.8091032505,0.7949621677
0.9572895765,0.9571734071,0.9574062824
0.8997271061,0.9119023681,0.8887038231
0.8790202141,0.8881201148,0.8708284497
0.8535501361,0.8644499779,0.8437125087
0.8915649652,0.8983857036,0.8855779767
0.9106733799,0.9152846932,0.9065096378
0.9270063043,0.9322562814,0.9222849607
0.9093677402,0.9187610149,0.901104033
0.9059525728,0.9145681262,0.8982309103
0.9107608795,0.9174118042,0.9048265219
0.8458728194,0.8619519472,0.8316466212
0.8346809149,0.8452702761,0.8250914812
0.8109073043,0.8192878962,0.803640604
0.9706837535,0.973274827,0.9682696462
0.932960391,0.9377026558,0.9286528826
0.8103163838,0.8257336617,0.7965465784
0.792309761,0.8140560389,0.7733626962
0.892375052,0.9043822289,0.8817156553
0.8085324168,0.8147540689,0.8026965261
0.878336072,0.8847441673,0.8732867837
0.887360692,0.8938800693,0.8813798428
0.8869698048,0.8918446898,0.8825212717
0.9277452826,0.9314441681,0.9243123531
0.9090521932,0.9168251157,0.9021457434
0.8692563772,0.8761875629,0.862817347
0.8407561779,0.8579834104,0.8252798319
0.8647971749,0.879006803,0.8520886302
0.8697475791,0.8733090162,0.8666816354
0.8265042305,0.8417382836,0.8128601909
0.8890669942,0.8990983963,0.8801806569
0.9395595789,0.944861412,0.9349831343
0.8491405845,0.856512785,0.8424129486
0.8832463026,0.893284142,0.8740523458
0.825832963,0.8457673192,0.8082557917
0.9083595276,0.9171724319,0.9004893899
0.7514579892,0.7600967884,0.7446141839
0.9289118052,0.9332478642,0.9251044989
0.7325353026,0.7401189208,0.7271030545
0.8714445829,0.8878051639,0.8573595881
0.9150686264,0.9203438163,0.9104192853
0.866948247,0.8733450174,0.8610164523
0.9224398136,0.925676465,0.9193111658
0.9236814976,0.9262845516,0.9212607741
0.903593421,0.9092793465,0.898435533
0.9281518459,0.9295558929,0.9267953634
0.7390543222,0.7463835478,0.7332217693
0.9095538855,0.9181629419,0.9018257856
0.9079395533,0.9152052402,0.9013753533
0.861895144,0.8742918968,0.8508349657
0.8353007436,0.8490272164,0.823014915
0.7510942817,0.7683232427,0.7352234125
0.7627321482,0.7849012613,0.7433647513
0.9061042666,0.9160876274,0.8975397944
0.9347513914,0.941906631,0.9282830954
0.9452677369,0.9495987892,0.9412744641
0.8745854497,0.8901216984,0.8609674573
0.8780046701,0.8890191913,0.8682336807
0.6800916791,0.6909978986,0.6722639203
0.9186531901,0.9322402477,0.9073190093
0.8634294271,0.8759416342,0.8520388603
0.9139204025,0.9246124029,0.9046217203
0.672113657,0.6778369546,0.6676948071
0.9015468359,0.9155532718,0.8892024159
0.908383131,0.9172105193,0.9004420042
0.8976806402,0.9045846462,0.8912866712
0.8671463728,0.880432725,0.8551775217
0.8859676719,0.8967674971,0.8761872053
0.9100442529,0.9177235961,0.9030711055
0.9072451591,0.9152735472,0.8999553919
0.9149659872,0.9229879379,0.9078158736
0.8914217949,0.9018203616,0.8821036816
0.7682175636,0.8071638346,0.7349123955
0.7334326506,0.7518204451,0.7168101072
0.8520011902,0.8629716039,0.8423803449
0.7066354156,0.7147482038,0.7006381154
0.8492478132,0.861091733,0.8386482
0.8587597013,0.8675996661,0.8506582379
0.9405065179,0.9430229664,0.9380918741
0.9220688343,0.9303663373,0.9146817327
0.8653036952,0.876386106,0.8551670909
0.8773503304,0.8811618686,0.8736739159
0.8918995261,0.899887681,0.8847250938
0.873911202,0.8881620765,0.8613492846
0.912280798,0.9179878235,0.9068682194
0.9017313719,0.9119349122,0.8931133747
0.7952699065,0.8136593699,0.7788050175
0.9117279053,0.9184302688,0.9055997729
0.9720299244,0.9729186296,0.9711596966
0.8381079435,0.8480799794,0.8288610578
0.8653626442,0.8705126047,0.8608797789
0.9500493407,0.9563758373,0.9444437027
0.8899296522,0.8989458084,0.881603241
0.9152256846,0.9247108102,0.9066977501
0.9006537199,0.9102110863,0.89237535
0.9157707095,0.9223660827,0.9098293185
0.9091156721,0.9177011847,0.9014717937
0.8878813982,0.8981182575,0.8785656691
0.8540169597,0.8657202125,0.8436049819
0.8745750785,0.893152833,0.858032763
0.9198731184,0.9263537526,0.9141941667
0.9144682884,0.9224637151,0.9071009755
0.9271275401,0.9299080968,0.9245768189
0.8679301143,0.8786326051,0.8583290577
0.9059482813,0.9141058922,0.8984882236
0.8492478132,0.8609676361,0.8385275006
0.6475761533,0.6583928466,0.6391604543
0.7131276131,0.7448707819,0.6853778958
0.973446846,0.9789806008,0.9689099789
0.9004721045,0.9080601931,0.8934239745
0.8986509442,0.9041136503,0.8934867978
0.8611067533,0.8700836897,0.8528877497
0.8988502026,0.9053092003,0.8928972483
0.853166163,0.8669231534,0.8408258557
0.8564240336,0.8672533035,0.8466644883
0.8961731791,0.9022997618,0.8910751939
0.8469302654,0.8633468151,0.8324223757
0.9141889811,0.9193182588,0.9094625711
0.8521357775,0.8586570621,0.8463227153
0.9451626539,0.9434328079,0.9469347
0.8754164577,0.8841537237,0.8673993349
0.8029347658,0.8229801059,0.7854338884
0.9268503785,0.9338507056,0.9205866456
0.9160183668,0.9248990417,0.9079882503
0.9016210437,0.9100911021,0.8942537308
0.8062560558,0.8118017316,0.8017433286
0.8816431761,0.8932393789,0.8709554076
0.923853457,0.927727282,0.9202499986
0.8635767102,0.8838369846,0.8465386629
0.6678730249,0.6773067117,0.6608435512
0.8002964258,0.8227652311,0.7806641459
0.9188609719,0.9238125682,0.9143714309
0.8932781816,0.9037557244,0.8839914799
0.8386001587,0.8526366353,0.8255156279
0.9144366384,0.9212787747,0.9084430933
0.8848816156,0.8970708847,0.8743962049
0.8821454048,0.8892863989,0.8756399155
0.9168570638,0.9266940355,0.9079333544
0.8926944733,0.9028736949,0.8837980032
0.6953735352,0.6985408664,0.6935085058
0.8803502321,0.8920121789,0.8698945642
0.8169382215,0.8359434009,0.8004499078
0.8394556046,0.8428508043,0.8367210627
0.887393117,0.897834897,0.8781872392
0.8986688852,0.9020068645,0.8955318928
0.7864328027,0.7937115431,0.7807819843
0.8868807554,0.8913441896,0.8828080893
0.9159319997,0.922752142,0.9099616408
0.8317018151,0.8419199586,0.822420001
0.7508201599,0.763850987,0.7409276366
0.901429534,0.9080176353,0.8953698874
0.8284599781,0.839315176,0.8183244467
0.9031656981,0.9113185406,0.8957210183
0.9262881875,0.9326142669,0.9205305576
0.9523196816,0.9612213969,0.9448575974
0.9061800838,0.9117717147,0.9011019468
0.8956571221,0.9029015303,0.8891521692
0.9169922471,0.9278259277,0.9073650837
0.9039805532,0.9118387103,0.8968922496
0.8830718994,0.8940448761,0.8730888367
0.8452318907,0.8607231379,0.8315480351
0.9270836115,0.9324219227,0.922129333
0.91227597,0.9215263724,0.9041413069
0.8280621171,0.8343134522,0.823205173
0.878605783,0.8856095672,0.8724371195
0.8939182162,0.9035066366,0.8852676153
0.8355097175,0.8526582122,0.8206383586
0.8364315629,0.8502367735,0.8241735697
0.8992553353,0.9093168974,0.8902209401
0.9107453227,0.9221039414,0.9003624916
0.8389062285,0.8492521048,0.8296562433
0.8429687023,0.8579654694,0.8294144869
0.9538809061,0.9571685791,0.9508320093
0.8474378586,0.8563175797,0.8392230868
0.8977996707,0.9052115083,0.8915401101
0.8860585093,0.8924615979,0.8804975748
0.8698496222,0.8818280101,0.859254241
0.8726472259,0.8803403974,0.8655668497
0.6959745884,0.7030920386,0.6907348633
0.8445062041,0.8500201702,0.8403109312
0.9137582779,0.9251534343,0.904378593
0.9067350626,0.9180944562,0.896784544
0.8291738629,0.8487724066,0.8120845556
0.9045271873,0.9130703807,0.8967698216
0.7608677745,0.7686839104,0.754265368
0.9265956879,0.9353398681,0.9188325405
0.8436932564,0.8566774726,0.8319250941
0.8798738718,0.8849339485,0.8751623034
0.8178760409,0.8320680857,0.8051799536
0.8933030367,0.9035955071,0.8842086792
0.8979284167,0.9054102302,0.8910446167
0.740729928,0.7460509539,0.7374016643
0.890925467,0.9012145996,0.8814399838
0.8925247192,0.9025623202,0.8833471537
0.9395463467,0.9471931458,0.9328613281
0.8210659027,0.8277838826,0.8147915602
0.8538950682,0.8661640882,0.8432381749
0.8896009922,0.8972507119,0.8828589916
0.8296998143,0.8417397141,0.8186768889
0.8011471629,0.8173780441,0.7868507504
0.9184890985,0.923042655,0.9142335653
0.906295836,0.9141152501,0.899377048
0.8299552798,0.8465752006,0.8154343367
0.8764184713,0.8870580792,0.8669878244
0.8310378194,0.8478109837,0.816078186
0.9326366782,0.9400269389,0.9261248112
0.8684225678,0.8822839856,0.8562742472
0.8815652132,0.8866090775,0.8769580126
0.9148343205,0.9256119132,0.9051500559
0.9206726551,0.9264372587,0.9156715274
0.881195128,0.8909050822,0.872271359
0.9134230614,0.9228314161,0.9056441784
0.9265288115,0.9317372441,0.9221447706
0.9199691415,0.9250391722,0.9152394533
0.8109058738,0.8269578218,0.7965679765
0.8817585111,0.8987657428,0.8669050932
0.7185630798,0.7271562815,0.7110276222
0.8810583949,0.8881065249,0.8744930029
0.9243388176,0.9263694286,0.9223877192
0.7860810757,0.806455493,0.7688270807
0.8869317174,0.8939806223,0.8804570436
0.8928099275,0.9040674567,0.8829936385
0.9269214272,0.9315695167,0.9226776958
0.9030222893,0.9188787937,0.8898797035
0.9292914271,0.9322037697,0.9265559316
0.8645251393,0.8752835393,0.8547108173
0.9617050886,0.9673675895,0.956804812
0.8441715837,0.8553045988,0.8342847824
0.911457777,0.9144649506,0.9086660743
0.8869581223,0.8958793283,0.8786848187
0.852652669,0.8626476526,0.8436688781
0.8947122097,0.9063340425,0.8844865561
0.7850333452,0.7846369743,0.7863468528
0.9082322717,0.9175889492,0.9000510573
0.9510130286,0.9562656879,0.9462823868
0.8826947808,0.8895758986,0.8763728738
0.9181768894,0.9196019769,0.9169279933
0.9330139756,0.9390336871,0.9276127219
0.930364728,0.9351812601,0.926027
0.8813234568,0.8935510516,0.8709277511
0.8800805211,0.8874747753,0.8736738563
0.836311698,0.8421851993,0.8306683898
0.864081502,0.8689042926,0.8600506783
0.9393197298,0.9396016002,0.9390460253
0.9242480397,0.9289705157,0.9201181531
0.9191894531,0.9252608418,0.9136641026
0.9702355862,0.9736866355,0.9671344757
0.9258947968,0.9330374002,0.9192739129
0.9049794674,0.9076998234,0.9026936293
0.7637179494,0.7989094257,0.7334163189
0.9281246066,0.933354795,0.9233839512
0.863067925,0.8751701713,0.8523849845
0.9165667295,0.9217628241,0.9119887352
0.8609679937,0.878199935,0.846413672
0.9278910756,0.9347944856,0.9217805266
0.9694006443,0.9735423326,0.9656452537
0.8709461689,0.8798564076,0.8629825115
0.9137439728,0.9210118651,0.9072129726
0.9194533229,0.9261755943,0.9133552909
0.8855214119,0.8951802254,0.8768296242
0.8892822862,0.9064285755,0.8749144673
0.8609890342,0.8749414086,0.8488530517
0.8613504767,0.8689225316,0.8542330861
0.8707820177,0.8795592785,0.862945497
0.8992577791,0.9066446424,0.8926646113
0.9767383933,0.9780068994,0.9755157828
0.8013033271,0.8262038827,0.7797524929
0.8024292588,0.8117895126,0.7945759892
0.8981342316,0.9073947668,0.8895061016
0.8897443414,0.897252202,0.8828299642
0.9032920003,0.9112115502,0.8963345289
0.7970814109,0.8117073774,0.7838662267
0.8813393712,0.8924314976,0.8713647723
0.9248675704,0.931160748,0.91924721
0.9205185175,0.9290476441,0.9129326344
0.8476881981,0.8615088463,0.835162878
0.8542186618,0.8685286641,0.8418053389
