f1,precision,recall,
0.5435199738,0.5333038568,0.5549350381,
0.5802889466,0.5720049739,0.5897989869,
0.7571478486,0.7487300634,0.7669417858,
0.5103442073,0.5014526844,0.52061373,
0.4954484701,0.4829441011,0.5098308921,
0.4710583985,0.4605585933,0.4829609096,
0.4838791788,0.4725121856,0.4972955883,
0.6460648775,0.639383316,0.6539634466,
0.5723482966,0.5662978888,0.5793895721,
0.5064641237,0.5000814199,0.5133134723,
0.5587369204,0.5500540137,0.5686970949,
0.6370214224,0.6264212728,0.649325788,
0.4652689099,0.4537044168,0.478674233,
0.579171896,0.5702009797,0.5896793604,
0.4984002113,0.4930364192,0.5044196844,
0.2450025082,0.23791641,0.253282249,
0.5054401755,0.497096777,0.5153317451,
0.4935576022,0.4879869223,0.4994396567,
0.5441001654,0.5340744853,0.5553916693,
0.495118469,0.4864782095,0.5050341487,
0.6154033542,0.603738308,0.6285893917,
0.6329548955,0.6234855652,0.6437673569,
0.5491008162,0.5480254292,0.5502926111,
0.487231344,0.4798606038,0.4955886602,
0.5277040601,0.5262677073,0.5298922062,
0.4953358769,0.4861249328,0.5057771802,
0.4741023779,0.4652236998,0.4846605659,
0.5997390747,0.5926480889,0.6076830626,
0.6350104213,0.630661428,0.6405494809,
0.6402721405,0.6321563721,0.6495062709,
0.6806365848,0.6780383587,0.6836590171,
0.6166689992,0.6150169969,0.6184962392,
0.4907284081,0.4852750301,0.4970487952,
0.5116173625,0.4997542799,0.5251027346,
0.4909186363,0.4828399718,0.5001847744,
0.495598346,0.4839349389,0.5087508559,
0.5369018912,0.5254988074,0.550286293,
0.5044437051,0.4949037433,0.5155093074,
0.4773037136,0.4718566239,0.4833203256,
0.4105941355,0.4072266817,0.4142489433,
0.6281423569,0.6211305261,0.636251688,
0.5595799088,0.5481949449,0.5734910369,
0.4966022968,0.4917156696,0.5020888448,
0.4948741198,0.4869806468,0.503975749,
0.4823788404,0.4757185578,0.4900779128,
0.5122019649,0.506639123,0.518728435,
0.6431031823,0.6349074244,0.6530938745,
0.4375878274,0.4241267145,0.4529663026,
0.5407895446,0.5293599367,0.5537207127,
0.5490529537,0.5450137258,0.5537770987,
0.432028681,0.4239139557,0.4413462877,
0.5382006168,0.5306272507,0.5464477539,
0.5400980115,0.5305719972,0.5514962673,
0.3938574493,0.3853484988,0.4036509991,
0.5018471479,0.4947143793,0.5103079677,
0.4152367711,0.407299161,0.4244506955,
0.5329295397,0.5225811601,0.5447701812,
0.4698565304,0.4557937682,0.4860181808,
0.4128745198,0.4107857943,0.4151964188,
0.5591491461,0.5566539168,0.561891973,
0.5685187578,0.5480611324,0.5927530527,
0.570327878,0.5574070811,0.5851116776,
0.2840233743,0.2826749384,0.2854407728,
0.4904656112,0.4854126573,0.4973134398,
0.561609447,0.5530048609,0.571732223,
0.3746517897,0.3664688766,0.3841475248,
0.5160105228,0.5007297397,0.5334746838,
0.4564628303,0.4513628781,0.462780565,
0.4935494065,0.4819236994,0.5066425204,
0.5595580935,0.5525391102,0.5674744844,
0.5252698064,0.516905725,0.5346572399,
0.5322023034,0.5237755179,0.5411630273,
0.536262095,0.53262043,0.5405271649,
0.5461804271,0.5389928818,0.5542436242,
0.5640569329,0.5600938797,0.5686144829,
0.5043464899,0.502967298,0.5057731271,
0.4537648857,0.4414711893,0.4678447545,
0.5477494001,0.5401170254,0.556337595,
0.4618119001,0.451449126,0.4746869802,
0.4713606536,0.466547668,0.4766495228,
0.571356535,0.5692843795,0.5735159516,
0.6192140579,0.6024731398,0.6382927299,
0.411210835,0.4063932896,0.416600883,
0.4503528178,0.4362569749,0.4669576585,
0.3721443117,0.3686998785,0.3757899702,
0.4546565115,0.4431340992,0.4676417112,
0.5059225559,0.4992079437,0.513863802,
0.4758888483,0.4659723341,0.4870964289,
0.4260380864,0.4158193469,0.437648505,
0.4544056058,0.447224617,0.4625766873,
0.6469355226,0.640414536,0.6540990472,
0.394257009,0.3858083189,0.4037509859,
0.6376545429,0.616076827,0.6634762287,
0.4534077644,0.4457835555,0.4625276029,
0.6889789701,0.681558907,0.6979394555,
0.6190878749,0.607034862,0.6325752139,
0.4301281571,0.4224061966,0.4396561086,
0.4758989513,0.4687225819,0.4841834605,
0.4013931751,0.3943139315,0.4096391499,
0.5253109336,0.514829874,0.5375008583,
0.4974307716,0.4895546734,0.5062961578,
0.6098560691,0.5983569026,0.6228795648,
0.4899959564,0.4772187471,0.5045014024,
0.4254933894,0.4165067375,0.4356240332,
0.4744928479,0.4672316611,0.4829194844,
0.5448951721,0.5335336328,0.5586068034,
0.495218873,0.4828937054,0.5092428327,
0.5321698189,0.5234475732,0.5420271754,
0.6053014994,0.5967075229,0.6151579618,
0.4422255456,0.4330899715,0.4529702663,
0.3937145472,0.3862030208,0.4023277462,
0.4379564822,0.4257493317,0.4518028796,
0.4401544631,0.4270674288,0.4554850459,
0.4011105895,0.393723011,0.4093500674,
0.49832353,0.486747086,0.5117026567,
0.4904755652,0.4822228551,0.4999762475,
0.4841443002,0.474684,0.4953186512,
0.4421235919,0.4338452518,0.4518185556,
0.5802428722,0.5688432455,0.5931354165,
0.65212363,0.6467821002,0.6588881016,
0.722977221,0.7173209786,0.7293319106,
0.4673795402,0.4592503607,0.4768991768,
0.5829473138,0.5795467496,0.5869576931,
0.4145029783,0.4111230969,0.4182928205,
0.4683858454,0.4659963548,0.4710069597,
0.5801798701,0.5707328916,0.5914841294,
0.4448826015,0.43959409,0.450792551,
0.4916341305,0.4836581647,0.5010285974,
0.3898090422,0.379609704,0.4015762806,
0.5980790257,0.586555481,0.611831069,
0.5906338692,0.5838595629,0.5987027884,
0.4991879463,0.4927440286,0.5070607066,
0.5060843825,0.5030761361,0.5095534921,
0.4704845846,0.4626476169,0.4795675874,
0.5813651085,0.5676472187,0.5976512432,
0.3747617304,0.367477268,0.382782042,
0.4605264962,0.4537174702,0.4686884284,
0.456086129,0.44778651,0.465277642,
0.3876900971,0.3812591434,0.3949208558,
0.555583477,0.5482686758,0.5635324717,
0.4342559576,0.4280129373,0.4416440129,
0.4441070557,0.4354288578,0.4539074898,
0.3651345074,0.3600418568,0.3706501424,
0.4668967128,0.4583407938,0.4769480824,
0.5131131411,0.4964762628,0.5328481793,
0.3934645355,0.3832270503,0.4051368833,
0.4501785934,0.4430045485,0.4580772519,
0.5053786039,0.5021498799,0.5089554787,
0.5151422024,0.5042223334,0.5274145603,
0.5604394674,0.548060298,0.5751039982,
0.4018004537,0.3935391605,0.411183387,
0.4852448404,0.4720005691,0.500806272,
0.3772330582,0.3716005683,0.3836359084,
0.7233726978,0.7151774168,0.7325580716,
0.5056288242,0.4982840121,0.5139498711,
0.5877267718,0.5711330771,0.6072705984,
0.4435085654,0.4366451502,0.4511505961,
0.3815844953,0.3653859496,0.400691092,
0.5164031982,0.5071072578,0.5278431177,
0.4137499332,0.4055104852,0.4236652553,
0.503893435,0.4964190722,0.512249589,
0.4680816233,0.4575060308,0.4801769555,
0.5538557768,0.5427120328,0.5668700933,
0.4261285365,0.4194695354,0.4336688817,
0.5018897653,0.4967505634,0.5078151822,
0.4872938097,0.4783198535,0.4977453947,
0.4625982344,0.4540092945,0.4725454748,
0.5883931518,0.5816465616,0.5955051184,
0.4105470181,0.4037262797,0.4181218147,
0.5758784413,0.5594570041,0.5944687128,
0.4907311797,0.4820729792,0.5010034442,
0.5022551417,0.4921275973,0.5143300295,
0.4642379582,0.4564540088,0.4726791084,
0.5218468904,0.5107322335,0.5343225598,
0.5320388079,0.5221762061,0.5433592796,
0.4950124025,0.4834841788,0.509131968,
0.542525351,0.5364120603,0.5491870046,
0.4986177981,0.4902349412,0.5080554485,
0.4151767492,0.4097664058,0.4213497937,
0.5878881216,0.575391531,0.6022716165,
0.5076626539,0.4936549067,0.5237005949,
0.4375295639,0.4267856181,0.4503822625,
0.4245734513,0.415399909,0.4351830184,
0.524572432,0.5179386735,0.5321747065,
0.5176408887,0.5056593418,0.5310826898,
0.4808784127,0.4705354869,0.4927875996,
0.4376998246,0.4305971861,0.4457205534,
0.5353502631,0.5272040963,0.544629097,
0.479844749,0.4677796066,0.4938449562,
0.5535372496,0.5437250137,0.5645954609,
0.4471607208,0.438146919,0.4576118588,
0.508857429,0.5069282055,0.5111113787,
0.4206109643,0.4120839238,0.4303665459,
0.6800813675,0.6704944372,0.6907814741,
0.5833845735,0.5801609755,0.5867546201,
0.6846599579,0.6837627292,0.685677886,
0.5098600984,0.4998109937,0.5214315653,
0.5159404278,0.5062404275,0.5272521377,
0.6517448425,0.6451964378,0.6589872837,
0.488428086,0.4772402942,0.5012408495,
0.5205131173,0.5105761886,0.5315983295,
0.4917084575,0.4855702817,0.4987656474,
0.5262365341,0.5205379128,0.5326454639,
0.5517107248,0.5425349474,0.562112689,
0.4934603572,0.4895083308,0.4977263808,
0.5601689219,0.5456346273,0.5772678852,
0.3304698765,0.320307523,0.3417944312,
0.5264112353,0.5138832927,0.5410298705,
0.3896770775,0.3790600598,0.4021579623,
0.4957828522,0.4848957062,0.5082587004,
0.5417763591,0.5306255221,0.5557525158,
0.6199068427,0.6025361419,0.6403101683,
0.5998359919,0.5898953676,0.6112108827,
0.54405123,0.5299307108,0.5608606935,
0.5164398551,0.5134111047,0.519606173,
0.4664219916,0.4580373764,0.4760632813,
0.4041762054,0.3980000317,0.411049515,
0.4593993723,0.4519174695,0.4683047831,
0.5671986938,0.5578632355,0.5777967572,
0.59930408,0.592266202,0.6070123315,
0.6677793264,0.6616797447,0.6744174361,
0.5190656185,0.5165506601,0.521787107,
0.5543435812,0.5420297384,0.5684428811,
0.4477277398,0.4360470474,0.4614958465,
0.454503417,0.4473856091,0.4624422193,
0.5237756968,0.5178237557,0.53066504,
0.4582712352,0.4493609667,0.4684688151,
0.5407060981,0.5283963084,0.554495275,
0.6922771335,0.6866651773,0.6989706159,
0.4724302888,0.4643314481,0.4818646312,
0.4744950235,0.465439409,0.4844568968,
0.514555335,0.5127624869,0.5165320635,
0.4932824373,0.4908287823,0.4958942533,
0.5075296164,0.4963941276,0.520158112,
0.5419180989,0.5374518633,0.5472890735,
0.4948345423,0.4909037948,0.4992181361,
0.5615096688,0.549202323,0.576192081,
0.5567516685,0.5447874069,0.570866406,
0.4158834517,0.4104216099,0.4219232202,
0.4205987453,0.4094471335,0.4334623516,
0.4924879074,0.4846542478,0.5016066432,
0.4565889537,0.4478248656,0.4668161273,
0.5008388162,0.4835102558,0.521140039,
0.3467422426,0.3412068784,0.352642417,
0.4539576769,0.4437677264,0.4656502008,
0.4886993468,0.4805175066,0.4984342754,
0.4037624896,0.3968299329,0.4117340744,
0.4322628379,0.4252823293,0.4403445423,
0.4919214249,0.4842111766,0.5004969835,
0.4172961414,0.4087105691,0.4271823764,
0.4668578506,0.4652314782,0.4685871303,
0.4803803265,0.4696020782,0.4927791357,
0.5087839365,0.5026524067,0.5155787468,
0.5013012886,0.4974461496,0.505967319,
0.5872140527,0.5826297998,0.5922480226,
0.5454586744,0.5393983126,0.5523402691,
0.5469010472,0.5348778367,0.5603352785,
0.3985974193,0.3941149414,0.4035834074,
0.5066586137,0.4968399107,0.5184053183,
0.6662955284,0.6564118266,0.6781722903,
0.5899284482,0.5881949067,0.591732502,
0.5726169944,0.5694971085,0.5759129524,
0.4916716516,0.4805481732,0.5046964288,
0.4807530642,0.4760992229,0.4860707819,
0.5275335908,0.5196094513,0.5360975862,
0.4934822023,0.480343163,0.5085871816,
0.426279068,0.4130649269,0.4419480562,
0.4856033027,0.4758061469,0.4966416955,
0.4529402256,0.447283268,0.4595981836,
0.6984784007,0.6936240196,0.7038201094,
0.4722640812,0.4684999883,0.4763684571,
0.5431540608,0.5359447002,0.551933527,
0.5497641563,0.538297534,0.562835753,
0.4555139542,0.4471605718,0.465713203,
0.5005589724,0.4920419157,0.5107962489,
0.5542516708,0.5486285686,0.5605229735,
0.5868230462,0.5737174153,0.6016200185,
0.4981704652,0.4872332513,0.5108525753,
0.553665936,0.5414602757,0.5673485398,
0.4655256867,0.4570843279,0.4751341343,
0.6401150227,0.6379576921,0.6425427794,
0.3676904142,0.3567801416,0.3801474869,
0.4998096526,0.4918526709,0.5085799098,
0.5361804962,0.5274162292,0.5457960367,
0.5509842634,0.5439471006,0.558663249,
0.64261657,0.6368157268,0.6495749354,
0.5199126601,0.5096246004,0.5309237838,
0.436568886,0.430926919,0.4432144165,
0.5052736998,0.4944931865,0.517563045,
0.5644825697,0.5556311607,0.5746681094,
0.6063199043,0.6046465039,0.6080470681,
0.3988451064,0.3923855722,0.4065724313,
0.4965336919,0.4958423674,0.497548759,
0.6390064955,0.6358056068,0.6428283453,
0.4959760904,0.4821566939,0.5123195052,
0.3483608961,0.3343992531,0.364584446,
0.6189779043,0.6076369882,0.6311720014,
0.5062381625,0.5001911521,0.5129903555,
0.428918153,0.4199073017,0.4393741786,
0.4301484823,0.4207537174,0.4411212504,
0.6769666672,0.6638897061,0.6920982599,
0.5422562361,0.5355938673,0.550475657,
0.4385120571,0.4245238006,0.4548401535,
0.4265743792,0.4185097218,0.4358354211,
0.5851560831,0.5757942796,0.5957812667,
0.4199512005,0.4105734527,0.4307668805,
0.5167259574,0.4984783232,0.5380446315,
0.4569962323,0.4394365251,0.4779857397,
0.6055886745,0.5935330987,0.619353652,
0.5069798231,0.4937916994,0.5227206945,
0.4918321967,0.4803565443,0.5049107671,
0.5208259225,0.5110519528,0.5319730639,
0.4907781184,0.4807734787,0.5021885037,
0.5228412151,0.5199392438,0.5268067718,
0.4483501017,0.447100848,0.4496459365,
0.4974455833,0.4897954762,0.5065718889,
0.5251997709,0.5212467909,0.5296065211,
0.4709408879,0.4660429657,0.4765384793,
0.4580123723,0.4519866109,0.4648044407,
0.5989499688,0.5907239318,0.6085567474,
0.5020544529,0.4894960821,0.5164576769,
0.5146281123,0.5042490959,0.5262762904,
0.4858059883,0.4735340476,0.5004521608,
0.4103138149,0.4049524069,0.4163510203,
0.5172675848,0.5124961734,0.5225312114,
0.5184991956,0.4988435805,0.5415258408,
0.4917349517,0.4834271967,0.5009743571,
0.4897464514,0.4807061255,0.5000682473,
0.4452986717,0.4384612739,0.4529278576,
0.5505630374,0.5400179029,0.5624420643,
0.6881518364,0.6838055849,0.6933793426,
0.4801677167,0.4576298594,0.5073533654,
0.4017820656,0.3900347054,0.4154046178,
0.5961949229,0.5909046531,0.6017994881,
0.496326983,0.4866402149,0.5072951317,
0.4597973228,0.4482448697,0.4736800194,
0.5220839977,0.513730824,0.5320779085,
0.5532775521,0.5438857079,0.564168632,
0.4309598505,0.423173368,0.439697206,
0.6171613336,0.6075797081,0.6279523969,
0.336571753,0.3246307075,0.3505300581,
0.4965658486,0.4850971103,0.5098472834,
0.3964028656,0.3835552335,0.4114677608,
0.50584656,0.4937856793,0.5195682645,
0.5140779614,0.5015558004,0.5288357139,
0.4070047438,0.3975797594,0.4180268049,
0.4698341191,0.4661581814,0.473890245,
0.4439353943,0.4355066419,0.4536608756,
0.5117988586,0.5057662129,0.5184384584,
0.5587518811,0.5447411537,0.575365603,
0.4548527002,0.4464548826,0.4642247856,
0.5297213197,0.5188148618,0.542347312,
0.5805183649,0.5650811195,0.600500524,
0.5485836267,0.5370169282,0.5616950393,
0.4365127087,0.4283536077,0.4460634887,
0.5263952613,0.5170795918,0.5375065804,
0.5398384333,0.5287397504,0.5523642898,
0.6090660095,0.5998572111,0.6194865704,
0.4394872487,0.4349639118,0.4446714222,
0.6249287128,0.6168450713,0.6341502666,
0.314188987,0.3022775948,0.3285465539,
0.2991787493,0.2912425101,0.307802707,
0.438872844,0.4315111935,0.4474764764,
0.4954919517,0.4803344905,0.5131702423,
0.4298820794,0.4164540768,0.4457712471,
0.4876005948,0.4771270752,0.4993215501,
0.4623568654,0.456209898,0.4692808688,
0.5944140553,0.5895375609,0.5997655392,
0.6373821497,0.6222846508,0.6544398069,
0.7213132977,0.7178955078,0.7249090075,
0.4588698447,0.4495849907,0.4697395861,
0.6780251265,0.6771835089,0.6788935661,
0.5521330833,0.5409680009,0.5649890304,
0.471575886,0.4624126554,0.4818633795,
0.49541682,0.4873436689,0.5045252442,
0.4280688763,0.4147118628,0.4432896972,
0.5623862147,0.5511372685,0.5752981305,
0.4965621531,0.4880704284,0.5065814257,
0.480814606,0.4664799869,0.4976781309,
0.4855703712,0.4780555367,0.4943522811,
0.4768395126,0.4702343941,0.484082818,
0.5556743145,0.5501181483,0.5627793074,
0.624810338,0.6189177036,0.631411314,
0.5538849235,0.5477628112,0.5607202053,
0.5393499732,0.5330773592,0.5464326739,
0.4999009669,0.497740835,0.5021290779,
0.5306019783,0.5205847621,0.542332232,
0.5424480438,0.5351077914,0.550609827,
0.4798994064,0.4697221518,0.4915594459,
0.4187861085,0.405472964,0.4342080355,
0.1809681803,0.1767421365,0.1856661886,
0.5787569284,0.5721423626,0.5866563916,
0.3546853364,0.3501908779,0.3595129251,
0.419170171,0.4104901254,0.4294671118,
0.4798116684,0.4706899524,0.4901873171,
0.4363577366,0.4267689288,0.4471877515,
0.495683223,0.4831825793,0.5101575255,
0.4867446125,0.4717939198,0.5044023991,
0.4270482063,0.4131717086,0.4434962869,
0.4891085625,0.4783238769,0.5015767813,
0.5069231391,0.4987340868,0.5163930058,
0.5380657315,0.532391727,0.5444390774,
0.4428727031,0.4340417683,0.4529485703,
0.5184531212,0.5064296722,0.532643795,
0.4654189348,0.4545393586,0.4778990746,
0.5623036027,0.5565416217,0.5686975718,
0.4511374235,0.4408068359,0.4632695019,
0.4354939163,0.427079767,0.4456786811,
0.489559263,0.4824911952,0.4974622726,
0.4636800289,0.4497576952,0.4796218872,
0.5264350772,0.508364141,0.5476924777,
0.4920414686,0.4887144864,0.4955872893,
0.531688273,0.5259568691,0.5382065177,
0.4374676645,0.4256359041,0.4503981173,
0.4731066525,0.4667080045,0.4802787006,
0.6683681607,0.6533135176,0.6857530475,
0.2418525815,0.2374481857,0.2468240112,
0.5388422012,0.5306828618,0.5484728813,
0.5839310884,0.574649334,0.5947765112,
0.5080507994,0.4993601441,0.5180702209,
0.4798572063,0.4697245657,0.4918703735,
0.5879625082,0.5703820586,0.6083065271,
0.4619957209,0.4515267909,0.4739091992,
0.4256451726,0.4185825586,0.4334852993,
0.5605264306,0.5543782115,0.5670032501,
0.5000941157,0.4945681691,0.5063214898,
0.5790931582,0.5671408176,0.5921849012,
0.49347049,0.4889670014,0.4988975525,
0.4287434518,0.4210653007,0.4375829101,
0.5683755279,0.5627610087,0.5745036006,
0.5021294951,0.4978314638,0.5068112016,
0.6708498001,0.6628754735,0.6795924306,
0.5658107996,0.5555190444,0.5778303146,
0.6402000785,0.6267983913,0.6563959718,
0.5091163516,0.4977213144,0.5224201083,
0.7057052255,0.6939243674,0.7186059952,
0.5756257772,0.5691699386,0.5830380917,
0.5806773901,0.5765967965,0.5850887895,
0.5232719183,0.5163064003,0.5313189626,
0.639538765,0.6332858801,0.6464956403,
0.4184552431,0.4149670005,0.4226409495,
0.5229691267,0.5085452795,0.539594233,
0.5370261669,0.5297961235,0.5452083349,
0.4396651983,0.4356432855,0.4443131983,
0.4085378945,0.3984208107,0.4204161465,
0.563298583,0.5571678877,0.5704395771,
0.5178048015,0.5073223114,0.5295699835,
0.4757533967,0.4681073129,0.4845782816,
0.6661003232,0.6545069218,0.6791840792,
0.4662317932,0.4584454596,0.4754841626,
0.5116245151,0.5022116303,0.5224198699,
0.5043797493,0.4934565723,0.5166530609,
0.4709230959,0.4612763524,0.4824283123,
0.4949187934,0.4880150855,0.5026916862,
0.4392507076,0.4312989414,0.44831267,
0.4543955326,0.4462512732,0.4636965692,
0.4760682583,0.4718105197,0.4806391597,
0.4189022481,0.4167385101,0.4214632511,
0.4397529662,0.4316433966,0.4490281343,
0.5569697022,0.545788765,0.5696098804,
0.4445261955,0.4337617457,0.4571882784,
0.5121327043,0.5046759844,0.5204744339,
0.4460866451,0.4380038083,0.4555076659,
0.5423412323,0.5323019624,0.5537351966,
0.3393072784,0.3351119459,0.3442001343,
0.5090283751,0.4952705503,0.5251259208,
0.5439677238,0.5351139903,0.5541632771,
0.5490140915,0.5344679952,0.5664131641,
0.4990243912,0.4926244617,0.5060242414,
0.576287806,0.5752184987,0.5774590969,
0.6231707931,0.6141277552,0.6335392594,
0.545802474,0.5409216881,0.5516000986,
0.5171685219,0.5079071522,0.5276101232,
0.1813933551,0.1800043136,0.1829157323,
0.4966490269,0.488563478,0.5059300661,
0.7398046851,0.7240797281,0.7569999695,
0.4888108075,0.4814311862,0.4985138178,
0.5947227478,0.5814698935,0.610026896,
0.6794246435,0.6758044362,0.6837463379,
0.4562259614,0.4447396994,0.4693285525,
0.4141311049,0.4078432024,0.4210115969,
0.5721957088,0.5641824007,0.5823842883,
0.2437245399,0.2333097458,0.2564511597,
0.5518017411,0.545866847,0.5588929653,
0.5092297792,0.4919614792,0.5285246968,
0.517529428,0.5083876252,0.5275967121,
0.4589850008,0.4501354694,0.4691536427,
0.4828028381,0.4604035616,0.5093024969,
0.7262661457,0.7212716341,0.7314392328,
